"_time",rate,"_span","_spandays"
631180800,"59.4",2678400,31
633859200,59,2419200,28
636278400,"59.8",2678400,31
638956800,"59.6",2588400,30
641545200,"60.2",2678400,31
644223600,"61.6",2592000,30
646815600,"60.4",2678400,31
649494000,"61.4",2678400,31
652172400,"61.6",2592000,30
654764400,"57.2",2682000,31
657446400,"56.9",2592000,30
660038400,"57.3",2678400,31
662716800,"57.5",2678400,31
665395200,"57.9",2419200,28
667814400,"59.7",2678400,31
670492800,"60.2",2588400,30
673081200,"58.5",2678400,31
675759600,"59.7",2592000,30
678351600,"60.1",2678400,31
681030000,"60.5",2678400,31
683708400,"60.6",2592000,30
686300400,"59.3",2682000,31
688982400,59,2592000,30
691574400,"55.9",2678400,31
694252800,"55.8",2678400,31
696931200,"56.8",2505600,29
699436800,"58.6",2678400,31
702115200,"57.9",2588400,30
704703600,"56.9",2678400,31
707382000,"55.2",2592000,30
709974000,"54.7",2678400,31
712652400,"51.6",2678400,31
715330800,"51.7",2592000,30
717922800,"51.9",2682000,31
720604800,"51.8",2592000,30
723196800,"52.4",2678400,31
725875200,"51.6",2678400,31
728553600,"52.7",2419200,28
730972800,"52.9",2678400,31
733651200,"52.3",2588400,30
736239600,"49.4",2678400,31
738918000,"49.5",2592000,30
741510000,"50.6",2678400,31
744188400,"49.3",2678400,31
746866800,"47.3",2592000,30
749458800,"49.4",2682000,31
752140800,"49.1",2592000,30
754732800,"50.8",2678400,31
757411200,54,2678400,31
760089600,"53.6",2419200,28
762508800,"52.1",2678400,31
765187200,"52.6",2588400,30
767775600,"54.6",2678400,31
770454000,53,2592000,30
773046000,"53.9",2678400,31
775724400,"53.9",2678400,31
778402800,"53.4",2592000,30
780994800,"53.1",2682000,31
783676800,"55.5",2592000,30
786268800,"56.2",2678400,31
788947200,"54.5",2678400,31
791625600,"52.9",2419200,28
794044800,"50.7",2678400,31
796723200,"49.6",2588400,30
799311600,"48.5",2678400,31
801990000,"48.4",2592000,30
804582000,51,2678400,31
807260400,"53.9",2678400,31
