"","month","milk_production","_time"
"1","1962-01",589,86400
"2","1962-02",561,2764800
"3","1962-03",640,5184000
"4","1962-04",656,7862400
"5","1962-05",727,10450800
"6","1962-06",697,13129200
"7","1962-07",640,15721200
"8","1962-08",599,18399600
"9","1962-09",568,21078000
"10","1962-10",577,23670000
"11","1962-11",553,26352000
"12","1962-12",582,28944000
"13","1963-01",600,31622400
"14","1963-02",566,34300800
"15","1963-03",653,36720000
"16","1963-04",673,39398400
"17","1963-05",742,41986800
"18","1963-06",716,44665200
"19","1963-07",660,47257200
"20","1963-08",617,49935600
"21","1963-09",583,52614000
"22","1963-10",587,55206000
"23","1963-11",565,57888000
"24","1963-12",598,60480000
"25","1964-01",628,63158400
"26","1964-02",618,65836800
"27","1964-03",688,68342400
"28","1964-04",705,71020800
"29","1964-05",770,73609200
"30","1964-06",736,76287600
"31","1964-07",678,78879600
"32","1964-08",639,81558000
"33","1964-09",604,84236400
"34","1964-10",611,86828400
"35","1964-11",594,89510400
"36","1964-12",634,92102400
"37","1965-01",658,94780800
"38","1965-02",622,97459200
"39","1965-03",709,99878400
"40","1965-04",722,102556800
"41","1965-05",782,105145200
"42","1965-06",756,107823600
"43","1965-07",702,110415600
"44","1965-08",653,113094000
"45","1965-09",615,115772400
"46","1965-10",621,118364400
"47","1965-11",602,121046400
"48","1965-12",635,123638400
"49","1966-01",677,126316800
"50","1966-02",635,128995200
"51","1966-03",736,131414400
"52","1966-04",755,134092800
"53","1966-05",811,136681200
"54","1966-06",798,139359600
"55","1966-07",735,141951600
"56","1966-08",697,144630000
"57","1966-09",661,147308400
"58","1966-10",667,149900400
"59","1966-11",645,152582400
"60","1966-12",688,155174400
"61","1967-01",713,157852800
"62","1967-02",667,160531200
"63","1967-03",762,162950400
"64","1967-04",784,165628800
"65","1967-05",837,168217200
"66","1967-06",817,170895600
"67","1967-07",767,173487600
"68","1967-08",722,176166000
"69","1967-09",681,178844400
"70","1967-10",687,181436400
"71","1967-11",660,184118400
"72","1967-12",698,186710400
"73","1968-01",717,189388800
"74","1968-02",696,192067200
"75","1968-03",775,194572800
"76","1968-04",796,197251200
"77","1968-05",858,199839600
"78","1968-06",826,202518000
"79","1968-07",783,205110000
"80","1968-08",740,207788400
"81","1968-09",701,210466800
"82","1968-10",706,213058800
"83","1968-11",677,215740800
"84","1968-12",711,218332800
"85","1969-01",734,221011200
"86","1969-02",690,223689600
"87","1969-03",785,226108800
"88","1969-04",805,228787200
"89","1969-05",871,231375600
"90","1969-06",845,234054000
"91","1969-07",801,236646000
"92","1969-08",764,239324400
"93","1969-09",725,242002800
"94","1969-10",723,244594800
"95","1969-11",690,247276800
"96","1969-12",734,249868800
"97","1970-01",750,252547200
"98","1970-02",707,255225600
"99","1970-03",807,257644800
"100","1970-04",824,260323200
"101","1970-05",886,262911600
"102","1970-06",859,265590000
"103","1970-07",819,268182000
"104","1970-08",783,270860400
"105","1970-09",740,273538800
"106","1970-10",747,276130800
"107","1970-11",711,278812800
"108","1970-12",751,281404800
"109","1971-01",804,284083200
"110","1971-02",756,286761600
"111","1971-03",860,289180800
"112","1971-04",878,291859200
"113","1971-05",942,294447600
"114","1971-06",913,297126000
"115","1971-07",869,299718000
"116","1971-08",834,302396400
"117","1971-09",790,305074800
"118","1971-10",800,307666800
"119","1971-11",763,310348800
"120","1971-12",800,312940800
"121","1972-01",826,315619200
"122","1972-02",799,318297600
"123","1972-03",890,320803200
"124","1972-04",900,323481600
"125","1972-05",961,326070000
"126","1972-06",935,328748400
"127","1972-07",894,331340400
"128","1972-08",855,334018800
"129","1972-09",809,336697200
"130","1972-10",810,339289200
"131","1972-11",766,341971200
"132","1972-12",805,344563200
"133","1973-01",821,347241600
"134","1973-02",773,349920000
"135","1973-03",883,352339200
"136","1973-04",898,355017600
"137","1973-05",957,357606000
"138","1973-06",924,360284400
"139","1973-07",881,362876400
"140","1973-08",837,365554800
"141","1973-09",784,368233200
"142","1973-10",791,370825200
"143","1973-11",760,373507200
"144","1973-12",802,376099200
"145","1974-01",828,378777600
"146","1974-02",778,381452400
"147","1974-03",889,383871600
"148","1974-04",902,386550000
"149","1974-05",969,389142000
"150","1974-06",947,391820400
"151","1974-07",908,394412400
"152","1974-08",867,397090800
"153","1974-09",815,399769200
"154","1974-10",812,402361200
"155","1974-11",773,405043200
"156","1974-12",813,407635200
"157","1975-01",834,410313600
"158","1975-02",782,412992000
"159","1975-03",892,415407600
"160","1975-04",903,418086000
"161","1975-05",966,420678000
"162","1975-06",937,423356400
"163","1975-07",896,425948400
"164","1975-08",858,428626800
"165","1975-09",817,431305200
"166","1975-10",827,433897200
"167","1975-11",797,436579200
"168","1975-12",843,439171200
